"state","sex","year","total","daily"
"Connecticut","Females",2002,21.3,16.07
"Connecticut","Both",2002,22.5,17
"Connecticut","Males",2003,23.5,17.43
"Connecticut","Females",2003,20.83,15.57
"Connecticut","Both",2003,22.14,16.48
"Connecticut","Males",2004,23.09,16.93
"Connecticut","Females",2004,20.08,15.16
"Connecticut","Both",2004,21.56,16.03
"Connecticut","Males",2005,22.62,16.21
"Connecticut","Females",2005,19.53,14.6
"Connecticut","Both",2005,21.04,15.39
"Connecticut","Males",2006,22.22,15.89
"Connecticut","Females",2006,19.06,14.05
"Connecticut","Both",2006,20.61,14.95
"Connecticut","Males",2007,21.71,15.28
"Connecticut","Females",2007,18.5,13.59
"Connecticut","Both",2007,20.08,14.42
"Connecticut","Males",2008,21.48,15.04
"Connecticut","Females",2008,17.62,12.78
"Connecticut","Both",2008,19.51,13.89
"Connecticut","Males",2009,20.77,14.46
"Connecticut","Females",2009,16.87,12.19
"Connecticut","Both",2009,18.78,13.31
"Connecticut","Males",2010,20.43,14.2
"Connecticut","Females",2010,16.28,11.51
"Connecticut","Both",2010,18.32,12.83
"Connecticut","Males",2011,20.03,13.87
"Connecticut","Females",2011,16.37,11.63
"Connecticut","Both",2011,18.17,12.73
"Connecticut","Males",2012,19.34,13.15
"Connecticut","Females",2012,15.84,11.08
"Connecticut","Both",2012,17.56,12.1
"Delaware","Males",1996,29.01,24.97
"Delaware","Females",1996,23.82,20.65
"Delaware","Both",1996,26.37,22.77
"Delaware","Males",1997,28.6,24.21
"Delaware","Females",1997,23.63,20.16
"Delaware","Both",1997,26.07,22.15
"Delaware","Males",1998,28.97,24.28
"Delaware","Females",1998,23.84,20.1
"Delaware","Both",1998,26.36,22.15
"Delaware","Males",1999,29.5,24.16
"Delaware","Females",1999,24.26,19.87
"Delaware","Both",1999,26.83,21.98
"Delaware","Males",2000,28.88,23.61
"Delaware","Females",2000,24.01,19.23
"Delaware","Both",2000,26.4,21.38
"Delaware","Males",2001,28.15,22.58
"Delaware","Females",2001,23.26,18.12
"Delaware","Both",2001,25.66,20.31
"Delaware","Males",2002,28,22.29
"Delaware","Females",2002,22.85,17.6
"Delaware","Both",2002,25.38,19.9
"Delaware","Males",2003,29.25,23.3
"Delaware","Females",2003,23.58,18.21
"Delaware","Both",2003,26.36,20.71
"Delaware","Males",2004,28.11,22.45
"Delaware","Females",2004,22.79,17.42
"Delaware","Both",2004,25.4,19.89
"Delaware","Males",2005,27.1,21.3
"Delaware","Females",2005,22.46,17.07
"Delaware","Both",2005,24.74,19.15
"Delaware","Males",2006,27.25,21.29
"Delaware","Females",2006,22.55,17.01
"Delaware","Both",2006,24.86,19.11
"Delaware","Males",2007,26.77,20.78
"Delaware","Females",2007,22.42,16.97
"Delaware","Both",2007,24.56,18.84
"Delaware","Males",2008,25.08,19.19
"Delaware","Females",2008,20.91,15.5
"Delaware","Both",2008,22.96,17.31
"Delaware","Males",2009,24.76,18.72
"Delaware","Females",2009,20.44,15.24
"Delaware","Both",2009,22.56,16.95
"Delaware","Males",2010,24.22,17.79
"Delaware","Females",2010,19.88,14.59
"Delaware","Both",2010,22.01,16.17
"Delaware","Males",2011,23.8,17.51
"Delaware","Females",2011,20.84,15.66
"Delaware","Both",2011,22.29,16.57
"Delaware","Males",2012,23.03,16.65
"Delaware","Females",2012,20.26,15.02
"Delaware","Both",2012,21.62,15.82
"District Of Columbia","Males",1996,24.64,18.23
"District Of Columbia","Females",1996,17.26,11.7
"District Of Columbia","Both",1996,20.88,14.91
"District Of Columbia","Males",1997,24.59,17.87
"District Of Columbia","Females",1997,17.85,12.02
"District Of Columbia","Both",1997,21.16,14.89
"District Of Columbia","Males",1998,24.5,17.48
"District Of Columbia","Females",1998,18.38,12.27
"District Of Columbia","Both",1998,21.39,14.83
"District Of Columbia","Males",1999,25.77,17.79
"District Of Columbia","Females",1999,19.12,12.56
"District Of Columbia","Both",1999,22.39,15.13
"District Of Columbia","Males",2000,26.42,18.02
"District Of Columbia","Females",2000,20.7,13.81
"District Of Columbia","Both",2000,23.51,15.88
"District Of Columbia","Males",2001,26.37,17.4
"District Of Columbia","Females",2001,20.79,13.7
"District Of Columbia","Both",2001,23.53,15.52
"District Of Columbia","Males",2002,27.07,17.33
"District Of Columbia","Females",2002,20.88,13.29
"District Of Columbia","Both",2002,23.92,15.28
"District Of Columbia","Males",2003,27.39,17.12
"District Of Columbia","Females",2003,20.63,13.02
"District Of Columbia","Both",2003,23.95,15.03
"District Of Columbia","Males",2004,26.21,15.99
"District Of Columbia","Females",2004,20.06,12.67
"District Of Columbia","Both",2004,23.07,14.3
"District Of Columbia","Males",2005,25.41,15.52
"District Of Columbia","Females",2005,19.71,12.43
"District Of Columbia","Both",2005,22.51,13.94
"District Of Columbia","Males",2006,25.09,15.42
"District Of Columbia","Females",2006,19.76,12.36
"District Of Columbia","Both",2006,22.38,13.86
"District Of Columbia","Males",2007,23.83,14.63
"District Of Columbia","Females",2007,19.75,12.54
"District Of Columbia","Both",2007,21.75,13.57
"District Of Columbia","Males",2008,23.16,14.42
"District Of Columbia","Females",2008,19.08,12.2
"District Of Columbia","Both",2008,21.08,13.29
"District Of Columbia","Males",2009,23.11,14.39
"District Of Columbia","Females",2009,19.13,12.13
"District Of Columbia","Both",2009,21.09,13.24
"District Of Columbia","Males",2010,22.69,13.69
"District Of Columbia","Females",2010,18.72,11.49
"District Of Columbia","Both",2010,20.67,12.57
"District Of Columbia","Males",2011,22.26,12.65
"District Of Columbia","Females",2011,18.54,11.02
"District Of Columbia","Both",2011,20.36,11.82
"District Of Columbia","Males",2012,21.47,11.99
"District Of Columbia","Females",2012,17.86,10.45
"District Of Columbia","Both",2012,19.63,11.21
"Florida","Males",1996,27.99,23.17
"Florida","Females",1996,23.03,19.19
"Florida","Both",1996,25.47,21.15
"Florida","Males",1997,27.96,22.79
"Florida","Females",1997,23.08,19
"Florida","Both",1997,25.47,20.86
"Florida","Males",1998,27.82,22.29
"Florida","Females",1998,23.06,18.75
"Florida","Both",1998,25.39,20.49
"Florida","Males",1999,28.06,22.24
"Florida","Females",1999,22.98,18.3
"Florida","Both",1999,25.48,20.23
"Florida","Males",2000,27.8,21.78
"Florida","Females",2000,22.91,18.17
"Florida","Both",2000,25.31,19.94
"Florida","Males",2001,27.69,21.37
"Florida","Females",2001,23.09,18.07
"Florida","Both",2001,25.35,19.69
"Florida","Males",2002,27.99,21.29
"Florida","Females",2002,23.02,17.62
"Florida","Both",2002,25.46,19.42
"Florida","Males",2003,28.24,21.2
"Florida","Females",2003,22.67,17.28
"Florida","Both",2003,25.41,19.21
"Florida","Males",2004,27.62,20.71
"Florida","Females",2004,22.55,17.16
"Florida","Both",2004,25.04,18.9
"Florida","Males",2005,27.46,20.51
"Florida","Females",2005,22.38,17.02
"Florida","Both",2005,24.88,18.73
"Florida","Males",2006,26.86,19.83
"Florida","Females",2006,21.79,16.37
"Florida","Both",2006,24.28,18.07
"Florida","Males",2007,26.17,19.38
"Florida","Females",2007,21.27,15.9
"Florida","Both",2007,23.68,17.61
"Florida","Males",2008,25.16,18.5
"Florida","Females",2008,20.97,15.57
"Florida","Both",2008,23.03,17.01
"Florida","Males",2009,25.05,18.28
"Florida","Females",2009,20.39,15.17
"Florida","Both",2009,22.67,16.7
"Florida","Males",2010,23.78,16.59
"Florida","Females",2010,19.29,13.89
"Florida","Both",2010,21.49,15.22
"Florida","Males",2011,24.19,16.57
"Florida","Females",2011,18.23,13.19
"Florida","Both",2011,21.16,14.85
"Florida","Males",2012,23.31,15.69
"Florida","Females",2012,17.6,12.53
"Florida","Both",2012,20.4,14.08
"Georgia","Males",1996,28.75,24.14
"Georgia","Females",1996,20.93,17.08
"Georgia","Both",1996,24.77,20.55
"Georgia","Males",1997,28.52,23.54
"Georgia","Females",1997,20.92,16.86
"Georgia","Both",1997,24.65,20.14
"Georgia","Males",1998,28.42,23.07
"Georgia","Females",1998,20.95,16.7
"Georgia","Both",1998,24.61,19.83
"Georgia","Males",1999,28.57,22.5
"Georgia","Females",1999,21.83,17.17
"Georgia","Both",1999,25.14,19.78
"Georgia","Males",2000,27.08,20.76
"Georgia","Females",2000,21.16,16.32
"Georgia","Both",2000,24.07,18.5
"Georgia","Males",2001,28.07,21.51
"Georgia","Females",2001,21.67,16.69
"Georgia","Both",2001,24.81,19.06
"Georgia","Males",2002,27.51,20.9
"Georgia","Females",2002,21.25,16.27
"Georgia","Both",2002,24.32,18.54
"Georgia","Males",2003,27.52,20.66
"Georgia","Females",2003,21.37,16.29
"Georgia","Both",2003,24.39,18.44
"Georgia","Males",2004,26.75,19.82
"Georgia","Females",2004,20.51,15.62
"Georgia","Both",2004,23.58,17.68
"Georgia","Males",2005,26.68,19.49
"Georgia","Females",2005,20.27,15.32
"Georgia","Both",2005,23.42,17.37
"Georgia","Males",2006,26.24,19.14
"Georgia","Females",2006,19.89,14.98
"Georgia","Both",2006,23.01,17.02
"Georgia","Males",2007,25.96,18.65
"Georgia","Females",2007,19.51,14.59
"Georgia","Both",2007,22.68,16.59
"Georgia","Males",2008,25.32,18.08
"Georgia","Females",2008,18.98,14.03
"Georgia","Both",2008,22.09,16.02
"Georgia","Males",2009,24.63,17.53
"Georgia","Females",2009,18.6,13.58
"Georgia","Both",2009,21.56,15.52
"Georgia","Males",2010,24.53,17.14
"Georgia","Females",2010,18.44,13.13
"Georgia","Both",2010,21.43,15.1
"Georgia","Males",2011,24.41,16.9
"Georgia","Females",2011,18.39,13.03
"Georgia","Both",2011,21.34,14.93
"Georgia","Males",2012,23.67,16.12
"Georgia","Females",2012,17.86,12.48
"Georgia","Both",2012,20.71,14.27
"Hawaii","Males",1996,25.22,20.89
